'-----BSD
Date :2018/7/19 	Time :16:11:07 
MARS2000		2.9k
Applied Rules : BV RULES

Label				Value			
Database				D:\Notes\Gitee\Tool\FID Mark 2.ma2			
Section				Midship section			
x(m)				155			

Ship name				<Name>			
Builder				<Buidler>			
Service notation				FPSO			
Navigation notation				Unrestricted navigation			
Scantling length				310.000			
Breadth moulded				58.000			
Block coefficient				0.850			
Scantling draught				22.00			
Ballast draught				10.00			

'-----Geometric Properties
------------------------------------
Geo Prop for: "Midship section"
------------------------------------
				GROSS	NET
Total Area (m2)				10.62428	9.58178			
Total Effective Area (m2)				10.55164	9.52095			
Moment of inertia /GY axis (m4)				1465.0740	1320.4470			
Moment of inertia /GZ axis (m4)				4160.6680	3742.3780			
Neutral axis (m)				13.560	13.557			

'-----Environment
------------------------------------
Options for: "Midship section"
------------------------------------

Wave BM		
Acceler.		Standard

------------------------------------
Vertical Bending Moment
------------------------------------
	Hogging	Sagging
Rule wave	9676814.000	-10216080.000	
Values used in calculation:	
Wave	9676814.000	-10216080.000	
S.W.B.M	7500000.000	0.000	
Total IACS	17176810.000	-10216080.000	
Total a	17854190.000	-10931210.000	
Total b	14747930.000	-7651844.000	
Total c	11641680.000	-4372482.000	
Total d	10088550.000	-2732801.000	

------------------------------------
Relative Motions
------------------------------------
	Scantling	Ballast
h1 Rule	 11.1972 	 11.1972 
h2 Rule	 15.7486 	 15.7486 

------------------------------------
Accelerations
------------------------------------
			upright condition			case c (with CFA)			case d (with CFA)
Comp	Draught (m)		x (m/s2)	y (m/s2)	z (m/s2)	x (m/s2)	y (m/s2)	z (m/s2)	x (m/s2)	y (m/s2)	z (m/s2)
 1 	10.000	Ballast	1.288	0.000	2.720	0.000	3.211	0.841	0.000	4.586	1.202
 2 	10.000	Ballast	1.291	0.000	2.720	0.000	3.217	1.478	0.000	4.596	2.111
 3 	10.000	Ballast	1.108	0.000	2.720	0.000	2.734	1.669	0.000	3.906	2.384

'-----SLongi.
----------------------------------------------------------------
Longitudinal stiffeners for: "Midship section"
----------------------------------------------------------------
																						GROSS				NET
Panel	Stiffener	Spacing	Span	WGross	WNet	WRulGross	WLoadGross	WRulNet	WLoadNet	Ps	Pw	SigX1	ShrAGross	ShrANet	ShrALoadNet	tmini0	tweb mini Prop	tweb mini	tflange mini Prop	tFlange Mini 		HGS Bend. Act	HGS Bend. Rul	Sig. Comb. Act	Sig. Comb. Rul	EtaBuck.Over.Act	EtaBuck.Over.Rul	EtaBuck.Sti.Act	EtaBuck.Sti.Rul				bflange mini prop		type	tw_grs	hw_grs	tFl_grs	hFl_grs	tot_corr_stiff	tot_corr_attplat	twebnetactual	tflangenetactual		TypeWRule	Max(Ash_Load & Ash_Test)	CaseAshr
 1	 31	0.950	5.120	3767.570	3309.158	3371.164	3371.164	2960.984	2960.984	171.945	96.813	127.090	74.400	62.175	52.323	9.275	9.598	9.598	9.552	9.552		101.53	224.36			0.033	1.000	0.673	1.000				155.438		t-bar	12.00	620.00	20.00	200.00	2.00	1.50	10.00	18.00		SEA c+	52.323	SEABAL 3 b	
 1	 32	0.950	5.120	3767.570	3309.158	3162.963	3162.963	2778.115	2778.115	162.392	100.232	118.714	74.400	62.175	51.891	9.275	9.598	9.598	9.552	9.552		90.39	224.36			0.031	1.000	0.619	1.000				155.438		t-bar	12.00	620.00	20.00	200.00	2.00	1.50	10.00	18.00		SEA c+	51.891	SEABAL 3 b	
 1	 33	0.950	5.120	4535.656	4003.698	4444.611	4444.611	3923.332	3923.332	152.840	103.651	110.339	87.100	73.893	65.974	9.450	8.957	9.450	9.083	9.083		79.26	175.00			0.024	1.000	0.771	1.000				167.938		t-bar	13.00	670.00	20.00	220.00	2.00	1.50	11.00	18.00		SEA c+	65.974	SEABAL 3 b	
 1	 34	0.860	5.120	4501.945	3976.008	3746.531	3746.531	3308.844	3308.844	143.287	107.070	101.963	87.100	73.893	59.796	9.360	8.957	9.360	9.083	9.083		68.12	175.00			0.022	1.000	0.654	1.000				167.938		t-bar	13.00	670.00	20.00	220.00	2.00	1.50	11.00	18.00		SEA c+	59.796	SEABAL 3 b	
 1	 35	0.920	5.120	3608.037	3161.964	3500.046	3500.046	3067.324	3067.324	126.294	113.153	87.063	75.600	63.175	62.601	9.420	8.423	9.420	7.417	7.417		48.30	175.00			0.024	1.000	0.618	1.000				157.938		t-bar	12.00	630.00	20.00	180.00	2.00	1.50	10.00	18.00		SEA c+	62.601	SEABAL 3 b	
 1	 36	0.920	5.120	3608.037	3161.964	3258.056	3258.056	2855.252	2855.252	117.043	116.464	78.952	75.600	63.175	61.393	9.420	8.423	9.420	7.417	7.417		37.52	175.00			0.022	1.000	0.559	1.000				157.938		t-bar	12.00	630.00	20.00	180.00	2.00	1.50	10.00	18.00		SEA c+	61.393	SEABAL 3 b	
 1	 37	0.920	5.120	3608.037	3161.964	3037.877	3037.877	2662.294	2662.294	225.292	80.533	13.196	75.600	63.175	59.117	9.420	8.423	9.420	7.417	7.417		26.73	175.00			0.020	1.000	0.492	1.000				157.938		t-bar	12.00	630.00	20.00	180.00	2.00	1.50	10.00	18.00		SEABAL 3 b	59.117	SEABAL 3 b	
 1	 38	0.920	5.120	3233.964	2837.132	2853.809	2853.809	2503.625	2503.625	216.041	77.967	7.865	69.600	58.175	56.840	9.420	7.757	9.420	7.417	7.417		15.95	175.00			0.021	1.000	0.445	1.000				145.438		t-bar	12.00	580.00	20.00	180.00	2.00	1.50	10.00	18.00		SEABAL 3 b	56.840	SEABAL 3 b	
 1	 39	0.920	5.120	3233.964	2837.132	2680.708	2680.708	2351.765	2351.765	206.790	75.402	2.534	69.600	58.175	54.563	9.420	7.757	9.420	7.417	7.417		5.16	175.00			0.019	1.000	0.379	1.000				145.438		t-bar	12.00	580.00	20.00	180.00	2.00	1.50	10.00	18.00		SEABAL 3 b	54.563	SEABAL 3 b	
 1	 40	0.920	5.120	3233.965	2837.133	2598.761	2598.761	2279.874	2279.874	197.539	72.837	5.392	69.600	58.175	52.287	9.420	7.757	9.420	7.417	7.417		5.63	175.00			0.019	1.000	0.356	1.000				145.438		t-bar	12.00	580.00	20.00	180.00	2.00	1.50	10.00	18.00		SEABAL 3 b	52.287	SEABAL 3 b	
